,호선명,지하철역,위도,경도,상세주소,열차내 사고,승강설비관련,출입문관련,역구내 사고,기타,발빠짐,총발생횟수
77,02호선,잠실나루,37.520733,127.10379,서울 송파구 신천동 15,0,0,0,0,0,0,0
78,02호선,잠실새내,37.511687,127.086162,서울 송파구 잠실동 21,0,0,0,1,0,0,1
79,02호선,종합운동장,37.510997,127.073642,서울 송파구 잠실동 122,0,0,0,0,0,0,0
80,02호선,충정로,37.559973,126.963672,서울 서대문구 충정로3가 334,1,1,0,0,0,1,3
81,02호선,한양대,37.555273,127.043655,서울 성동구 행당동 산 17,0,0,0,0,0,0,0
82,02호선,합정,37.549463,126.913739,서울 마포구 합정동 402,0,2,1,1,0,3,7
83,02호선,홍대입구,37.557192,126.925381,서울 마포구 동교동 192-6,0,0,1,1,0,0,2
84,03호선,가락시장,37.492522,127.118234,서울 송파구 가락동 600,0,0,2,1,0,0,3
85,03호선,경복궁,37.575762,126.97353,서울 종로구 적선동 81-1,0,0,0,1,0,0,1
86,03호선,경찰병원,37.495918,127.12454,서울 송파구 가락동 10-15,0,0,0,0,0,1,1
87,03호선,고속터미널,37.50481,127.004943,서울 서초구 반포동 19-11,0,0,2,0,0,5,7
88,03호선,구파발,37.636763,126.918821,서울특별시 은평구 진관2로 지하15-25,0,0,0,4,0,0,4
89,03호선,금호,37.548034,127.015872,서울 성동구 금호동4가 1470,0,0,1,0,0,2,3
90,03호선,남부터미널,37.485013,127.016189,서울 서초구 서초동 1748-30,0,0,0,0,0,0,0
91,03호선,녹번,37.600927,126.935756,서울 은평구 녹번동 53-35,0,0,0,0,0,0,0
92,03호선,대청,37.493514,127.079532,서울 강남구 일원동 700-9,0,0,1,1,0,0,2
93,03호선,대치,37.494612,127.063642,서울 강남구 대치동 317-3,0,1,0,0,0,0,1
94,03호선,도곡,37.490858,127.055381,서울 강남구 도곡동 339-2,0,0,0,0,0,0,0
95,03호선,독립문,37.574571,126.957748,서울 서대문구 현저동 95-3,0,1,0,0,0,0,1
96,03호선,동대입구,37.559052,127.005602,서울 중구 장충동2가 199-3,0,0,0,0,0,1,1
97,03호선,매봉,37.486947,127.046769,서울 강남구 도곡동 179-2,0,0,0,0,0,0,0
98,03호선,무악재,37.582299,126.950291,서울 서대문구 홍제동 25-1,0,0,0,0,0,0,0
99,03호선,불광,37.610469,126.929887,서울 은평구 대조동 13-10,0,0,2,0,0,1,3
100,03호선,수서,37.487371,127.10188,서울 강남구 수서동 728,0,0,0,0,0,0,0
101,03호선,신사,37.516334,127.020114,서울 강남구 신사동 667,0,0,1,1,0,0,2
102,03호선,안국,37.576477,126.985443,서울 종로구 안국동 73-1,1,0,0,0,0,0,1
103,03호선,압구정,37.527072,127.028461,서울 강남구 신사동 667-35,2,1,1,2,0,1,7
104,03호선,약수,37.55434,127.010655,서울 중구 신당동 369-49,0,0,0,1,0,0,1
105,03호선,양재,37.484147,127.034631,서울 서초구 서초동 1366-9,1,0,2,0,0,0,3
106,03호선,연신내,37.619001,126.921008,서울 은평구 갈현동 389-5,2,0,2,2,0,0,6
107,03호선,오금,37.502162,127.128111,서울 송파구 오금동 44-2,2,1,0,0,0,0,3
108,03호선,옥수,37.540685,127.017965,서울 성동구 옥수동 168-1,0,1,0,0,0,1,2
109,03호선,일원,37.483681,127.08439,서울 강남구 일원동 717,0,0,1,0,0,0,1
110,03호선,잠원,37.512759,127.01122,서울 서초구 잠원동 100-1,0,0,0,0,0,0,0
111,03호선,충무로,37.561243,126.99428,서울 중구 필동2가 16-2,1,0,6,0,0,7,14
112,03호선,학여울,37.496663,127.070594,서울 강남구 대치동 5-3,0,0,0,0,0,0,0
113,03호선,홍제,37.589066,126.943736,서울 서대문구 홍제동 161-1,0,0,0,1,0,0,1
114,04호선,길음,37.603407,127.025053,서울 성북구 길음동 1276-2,0,0,0,0,0,0,0
115,04호선,남태령,37.463873,126.989134,서울 서초구 방배동 2923-2,0,0,0,1,0,0,1
116,04호선,노원,37.655128,127.061368,서울 노원구 상계동 713,0,0,2,2,2,0,6
117,04호선,당고개,37.670272,127.079066,서울 노원구 상계동 111,0,0,0,0,0,0,0
118,04호선,동작,37.502971,126.979306,서울 동작구 동작동 327-3,0,0,0,0,0,1,1
119,04호선,명동,37.560989,126.986325,서울 중구 충무로2가 109-2,0,0,1,0,0,0,1
120,04호선,미아,37.62667,127.025983,서울 강북구 미아동 194-1,0,0,0,0,0,0,0
121,04호선,미아사거리,37.613292,127.030053,서울 강북구 미아동 66-1,1,0,1,0,0,0,2
122,04호선,삼각지,37.534777,126.97311,서울 용산구 한강로1가 278-2,0,0,0,1,0,0,1
123,04호선,상계,37.660878,127.073572,서울 노원구 상계동 156-203,0,0,0,0,0,0,0
124,04호선,성신여대입구,37.592624,127.016403,서울 성북구 동선동4가 1,0,0,0,0,0,3,3
125,04호선,수유,37.638052,127.025732,서울 강북구 수유동 140,1,0,3,0,0,0,4
126,04호선,숙대입구,37.54456,126.972106,서울 용산구 갈월동 69-115,0,0,1,2,0,0,3
127,04호선,신용산,37.52917,126.967894,서울 용산구 한강로2가 181-1,0,0,0,0,0,0,0
128,04호선,쌍문,37.648627,127.034709,서울 도봉구 창동 703-5,3,0,0,0,0,0,3
129,04호선,이촌,37.522272,126.974345,서울 용산구 용산동5가 17-112,1,0,1,2,0,0,4
130,04호선,총신대입구,37.486263,126.981989,서울 동작구 사당동 144-4,0,0,0,0,0,0,0
131,04호선,한성대입구,37.588458,127.006221,서울 성북구 삼선동1가 14,1,1,0,0,0,0,2
132,04호선,혜화,37.582336,127.001844,서울 종로구 동숭동 67-2,2,1,1,1,0,0,5
133,04호선,회현,37.558514,126.978246,서울 중구 남창동 64-1,1,0,2,1,0,1,5
134,05호선,강동,37.535804,127.132481,서울 강동구 성내동 160-52,1,0,2,0,0,0,3
135,05호선,개롱,37.498079,127.13482,서울 송파구 가락동 165-2,0,0,0,0,0,0,0
136,05호선,개화산,37.572399,126.806171,서울 강서구 방화동 848,0,0,0,0,0,0,0
137,05호선,거여,37.493105,127.14415,서울 송파구 거여동 20-14,0,0,0,1,0,0,1
138,05호선,고덕,37.555004,127.154151,서울 강동구 고덕동 310,0,1,0,0,0,0,1
139,05호선,공덕,37.544018,126.951592,서울 마포구 공덕동 429-11,0,1,0,0,0,0,1
140,05호선,광나루,37.545303,127.10357,서울 광진구 광장동 237,0,0,0,1,0,0,1
141,05호선,광화문,37.571026,126.976669,서울 종로구 세종로 1-68,1,0,0,1,0,0,2
142,05호선,군자,37.557121,127.079542,서울 광진구 능동 275-5,2,0,6,0,0,1,9
143,05호선,굽은다리,37.545477,127.142853,서울 강동구 명일동 345-12,0,0,1,1,0,0,2
144,05호선,길동,37.537801,127.140004,서울 강동구 길동 378,0,0,0,0,0,0,0
145,05호선,김포공항,37.562434,126.801058,서울 강서구 방화동 886,0,0,1,0,0,0,1
146,05호선,답십리,37.566747,127.052704,서울 성동구 용답동 99,0,0,0,0,0,0,0
147,05호선,둔촌동,37.527788,127.136248,서울 강동구 둔촌동 416,0,0,0,0,0,0,0
148,05호선,마곡,37.560183,126.825448,서울 강서구 마곡동 769-3,0,1,0,0,0,0,1
149,05호선,마장,37.5661,127.042973,서울 성동구 마장동 804,0,0,0,0,0,0,0
150,05호선,마천,37.49499,127.152781,서울 송파구 마천동 183-99,0,0,0,0,0,0,0
151,05호선,마포,37.539574,126.945932,서울 마포구 도화동 160,0,0,1,0,0,0,1
152,05호선,명일,37.55137,127.143999,서울 강동구 명일동 312,0,0,1,0,0,0,1
153,05호선,목동,37.526065,126.864931,서울 양천구 목동 927-8,0,0,0,0,0,0,0
154,05호선,발산,37.558598,126.837668,서울 강서구 내발산동 727-14,0,0,1,0,0,2,3
155,05호선,방이,37.508857,127.126133,서울 송파구 방이동 217-2,0,0,0,0,0,0,0
156,05호선,방화,37.577446,126.812741,서울 강서구 방화동 829-15,0,1,0,0,0,0,1
157,05호선,상일동,37.556712,127.166417,서울 강동구 상일동 146,1,0,1,0,0,0,2
158,05호선,서대문,37.565773,126.966641,서울 종로구 평동 210,0,0,0,0,0,0,0
159,05호선,송정,37.561184,126.811973,서울 강서구 공항동 27-5,0,0,0,0,0,0,0
160,05호선,신금호,37.554548,127.020331,서울 성동구 금호동1가 506-3,0,0,0,0,0,0,0
161,05호선,신정,37.524997,126.856191,서울 양천구 신정동 1090,0,1,0,0,0,0,1
162,05호선,아차산,37.551691,127.089761,서울 광진구 능동 256-16,0,0,0,0,0,0,0
163,05호선,애오개,37.553736,126.95682,서울 마포구 아현동 612,0,0,0,0,0,0,0
164,05호선,양평,37.492832,127.491814,서울특별시 영등포구 양산로 21,0,0,0,0,0,0,0
165,05호선,여의나루,37.527098,126.932901,서울 영등포구 여의도동 84-4,0,0,0,0,0,0,0
166,05호선,여의도,37.521624,126.924191,서울 영등포구 여의도동 3,2,0,0,0,0,0,2
167,05호선,영등포시장,37.522669,126.905139,서울 영등포구 영등포동5가 62-1,0,0,0,0,0,0,0
168,05호선,오목교,37.524496,126.875181,서울 양천구 목동 406-30,0,0,0,0,0,0,0
169,05호선,올림픽공원,37.516078,127.130848,서울 송파구 방이동 89-28,0,0,0,0,0,0,0
170,05호선,우장산,37.548768,126.836318,서울 강서구 내발산동 724-63,1,0,1,0,0,0,2
171,05호선,장한평,37.56144,127.064623,서울 동대문구 장안동 472-3,0,0,1,1,0,0,2
172,05호선,천호,37.538397,127.123572,서울 강동구 성내동 62-1,3,0,5,0,0,1,9
173,05호선,청구,37.560245,127.013828,서울 중구 신당동 295-2,0,0,1,0,0,0,1
174,05호선,행당,37.557322,127.029476,서울 성동구 행당동 322-428,0,0,0,0,0,0,0
175,05호선,화곡,37.541513,126.840461,서울 강서구 화곡동 1089-54,0,0,1,1,0,0,2
176,06호선,고려대,37.590508,127.036296,서울 성북구 종암동 29-18,0,0,1,0,0,0,1
177,06호선,광흥창,37.547456,126.931993,서울 마포구 창전동 145-17,0,0,0,1,0,0,1
178,06호선,구산,37.611377,126.91727,서울 은평구 갈현동 531-9,0,1,0,1,0,0,2
179,06호선,녹사평,37.534675,126.986695,서울 용산구 용산동4가 1-1,0,0,0,1,0,0,1
180,06호선,대흥,37.547771,126.942069,서울 마포구 대흥동 128-1,0,0,0,0,0,0,0
181,06호선,독바위,37.618456,126.933031,서울 은평구 불광동 13-6,0,0,0,0,0,0,0
182,06호선,돌곶이,37.610537,127.056431,서울 성북구 석관동 349-8,0,0,0,0,0,0,0
183,06호선,디지털미디어시티,37.576646,126.900984,서울 마포구 상암동 1092,0,0,0,1,0,0,1
184,06호선,마포구청,37.563515,126.903343,서울 마포구 성산동 592,0,0,0,1,0,0,1
185,06호선,망원,37.556094,126.910052,서울 마포구 망원동 378,0,0,1,0,0,0,1
186,06호선,버티고개,37.548013,127.007055,서울 중구 신당동 366-454,0,0,0,0,0,0,0
187,06호선,보문,37.585286,127.019381,서울 성북구 보문동1가 127-1,0,0,0,0,0,0,0
188,06호선,봉화산,37.617283,127.091401,서울 중랑구 신내동 643-1,0,0,0,0,0,0,0
189,06호선,상수,37.547716,126.922852,서울 마포구 상수동 309-10,0,0,0,0,0,0,0
190,06호선,상월곡,37.606377,127.048491,서울 성북구 상월곡동 26-1,0,0,0,0,0,0,0
191,06호선,새절,37.591148,126.913629,서울 은평구 신사동 352-2,0,0,0,0,0,0,0
192,06호선,신내,37.612887,127.103218,서울 중랑구 망우동 320,0,0,0,0,0,0,0
193,06호선,안암,37.586272,127.029005,서울 성북구 안암동5가 146-1,0,0,0,1,0,0,1
194,06호선,역촌,37.606021,126.922744,서울 은평구 녹번동 153-31,0,0,0,0,0,0,0
195,06호선,월곡,37.601948,127.041518,서울 성북구 하월곡동 35-1,1,0,0,1,0,0,2
196,06호선,월드컵경기장,37.569532,126.899298,서울 마포구 성산동 421-2,0,0,0,1,0,0,1
197,06호선,응암,37.598605,126.915577,서울 은평구 신사동 22-15,0,0,0,0,0,0,0
198,06호선,이태원,37.534488,126.994302,서울 용산구 이태원동 119-23,1,0,0,0,0,0,1
199,06호선,증산,37.583876,126.909645,서울 은평구 증산동 199-8,0,1,0,0,0,0,1
200,06호선,창신,37.579661,127.015241,서울 종로구 창신동 20-8,0,0,0,0,0,0,0
201,06호선,태릉입구,37.617983,127.07512,서울 노원구 공릉동 680-8,0,0,0,0,0,0,0
202,06호선,한강진,37.539631,127.001725,서울 용산구 한남동 726-494,0,0,0,0,0,0,0
203,06호선,화랑대,37.620064,127.084689,서울 노원구 공릉동 60-1,0,1,0,1,0,0,2
204,06호선,효창공원앞,37.539261,126.961351,서울 용산구 효창동 73-3,0,0,0,0,0,0,0
205,07호선,강남구청,37.517186,127.04128,서울 강남구 삼성동 111-44,0,0,0,0,0,0,0
206,07호선,공릉,37.625742,127.072896,서울 노원구 공릉동 385-4,0,0,0,1,0,0,1
207,07호선,남구로,37.486056,126.887249,서울 구로구 구로동 801-95,0,1,0,1,0,0,2
208,07호선,남성,37.484596,126.971251,서울 동작구 사당동 산 25-33,0,0,0,0,0,0,0
209,07호선,내방,37.487618,126.993513,서울 서초구 방배동 874-16,0,0,0,0,0,0,0
210,07호선,논현,37.511093,127.021415,서울 강남구 논현동 279-67,1,0,0,0,0,0,1
211,07호선,뚝섬유원지,37.53154,127.066704,서울 광진구 자양동 73-2,0,0,0,0,0,0,0
212,07호선,마들,37.66494,127.057675,서울 노원구 상계동 650,0,0,0,0,0,0,0
213,07호선,먹골,37.610637,127.077725,서울 중랑구 묵동 189-5,2,0,0,0,0,0,2
214,07호선,면목,37.588579,127.087503,서울 중랑구 면목동 282-6,0,0,0,0,0,0,0
215,07호선,반포,37.508178,127.011727,서울 서초구 잠원동 103,0,0,0,0,0,0,0
216,07호선,보라매,37.499872,126.920428,서울 동작구 대방동 466-51,1,0,0,1,0,0,2
217,07호선,사가정,37.580894,127.088478,서울 중랑구 면목동 495,3,2,0,1,0,0,6
218,07호선,상도,37.502834,126.94791,서울 동작구 상도1동 702-1,1,1,0,0,0,0,2
219,07호선,상봉,37.596362,127.085032,서울 중랑구 상봉동 160-7,0,1,1,1,0,0,3
220,07호선,수락산,37.67785,127.055315,서울 노원구 상계동 1132-9,0,1,0,0,0,0,1
221,07호선,숭실대입구,37.496029,126.953822,서울 동작구 상도동 514,0,0,0,0,0,0,0
222,07호선,신대방삼거리,37.499701,126.928276,서울 동작구 대방동 406-10,0,0,0,0,0,0,0
223,07호선,신풍,37.50008,126.90993,서울 영등포구 신길동 3599,0,0,0,0,0,0,0
224,07호선,어린이대공원,37.548014,127.074658,서울 광진구 화양동 164-1,0,0,0,1,0,0,1
225,07호선,용마산,37.573647,127.086727,서울 중랑구 면목동 1382-13,0,0,0,0,0,0,0
226,07호선,이수,37.486263,126.981989,서울 동작구 사당동 144-4,1,0,4,0,0,0,5
227,07호선,장승배기,37.504898,126.93915,서울 동작구 상도동 26-20,0,0,0,0,0,0,0
228,07호선,중계,37.644583,127.064303,서울 노원구 중계동 503-3,0,0,0,0,0,0,0
229,07호선,중곡,37.565923,127.08432,서울 광진구 중곡동 273-2,0,0,0,0,0,0,0
230,07호선,중화,37.602545,127.079264,서울 중랑구 중화동 50-3,0,0,0,1,0,0,1
231,07호선,천왕,37.486637,126.838713,서울 구로구 천왕동 14-43,0,0,0,0,0,0,0
232,07호선,청담,37.519365,127.05335,서울 강남구 청담동 77-76,0,0,0,0,0,0,0
233,07호선,하계,37.636352,127.06799,서울 노원구 하계동 273-5,0,0,0,0,0,0,0
234,07호선,학동,37.514229,127.031656,서울 강남구 논현동 279-67,0,1,0,0,0,0,1
235,08호선,강동구청,37.530341,127.120508,서울 강동구 성내동 319,0,0,0,0,0,0,0
236,08호선,몽촌토성,37.517409,127.112359,서울 송파구 신천동 19,0,0,0,1,0,0,1
237,08호선,문정,37.485855,127.1225,서울 송파구 문정동 315-2,1,1,1,0,0,2,5
238,08호선,복정,37.470047,127.126662,서울 송파구 장지동 596-21,0,0,1,0,0,0,1
239,08호선,석촌,37.505431,127.106979,서울 송파구 석촌동 209,1,0,0,0,0,0,1
240,08호선,송파,37.499703,127.112183,서울 송파구 가락동 459-4,0,0,0,0,0,0,0
241,08호선,암사,37.55021,127.127562,서울 강동구 암사동 501,0,0,1,0,0,0,1
242,08호선,장지,37.478703,127.126191,서울 송파구 장지동 217-3,0,0,0,1,0,0,1
243,09호선,가양,37.561391,126.854456,서울 강서구 등촌동 477-1,0,0,0,0,0,0,0
244,09호선,개화,37.578608,126.798153,서울 강서구 개화동 493-2,0,0,0,0,0,0,0
245,09호선,공항시장,37.563726,126.810678,서울 강서구 공항동 산 20-2,0,0,0,0,0,0,0
246,09호선,구반포,37.501364,126.987332,서울 서초구 반포동 817,0,0,0,0,0,0,0
247,09호선,국회의사당,37.528105,126.917874,서울 영등포구 여의도동 1-6,0,0,0,0,0,0,0
248,09호선,노들,37.512887,126.953222,서울 동작구 본동 475-1,0,0,0,0,0,0,0
249,09호선,둔촌오륜,37.519296,127.138675,서울 강동구 둔촌동 227-7,0,0,0,0,0,0,0
250,09호선,등촌,37.550632,126.865689,서울 양천구 목동 605-22,0,0,0,0,0,0,0
251,09호선,마곡나루,37.567336,126.829497,서울 강서구 마곡동 764-14,0,0,0,0,0,0,0
252,09호선,봉은사,37.514219,127.060245,서울 강남구 삼성동 172,0,0,0,0,0,0,0
253,09호선,사평,37.504206,127.015259,서울 서초구 반포동 128-7,0,0,0,0,0,0,0
254,09호선,삼성중앙,37.513011,127.053282,서울 강남구 삼성동 111-147,0,0,0,0,0,0,0
255,09호선,삼전,37.504516,127.087439,서울 송파구 잠실동 347,0,0,0,0,0,0,0
256,09호선,샛강,37.517274,126.928422,서울 영등포구 여의도동 5,0,0,0,0,0,0,0
257,09호선,석촌고분,37.5023874,127.0969415,서울 송파구 삼전동 157-1,0,0,0,0,0,0,0
258,09호선,선유도,37.53802,126.893525,서울 영등포구 양평동5가 66-1,0,0,0,0,0,0,0
259,09호선,선정릉,37.51098,127.043593,서울 강남구 삼성동 111-114,0,0,0,0,0,0,0
260,09호선,송파나루,37.510276,127.112224,서울 송파구 방이동 2,0,0,0,0,0,0,0
261,09호선,신논현,37.504598,127.02506,서울 강남구 역삼동 800,0,0,0,0,0,0,0
262,09호선,신목동,37.544277,126.88308,서울 양천구 목동 136-2,0,0,0,0,0,0,0
263,09호선,신반포,37.503415,126.995925,서울 서초구 반포동 128-1,0,0,0,0,0,0,0
264,09호선,신방화,37.567532,126.816601,서울 강서구 방화동 217-156,0,0,0,0,0,0,0
265,09호선,양천향교,37.568381,126.841333,서울 강서구 가양동 150-34,0,0,0,0,0,0,0
266,09호선,언주,37.507287,127.033868,서울 강남구 논현동 279-165,0,0,0,0,0,0,0
267,09호선,염창,37.546936,126.874916,서울 양천구 목동 560,0,0,0,0,0,0,0
268,09호선,중앙보훈병원,37.528879,127.148536,서울 강동구 둔촌동 8-1,0,0,0,0,0,0,0
269,09호선,증미,37.557402,126.861939,서울 강서구 등촌동 666-40,0,0,0,0,0,0,0
270,09호선,한성백제,37.516421,127.116248,서울 송파구 방이동 88-17,0,0,0,0,0,0,0
271,09호선,흑석,37.50877,126.963708,서울 동작구 흑석동 4,0,0,0,0,0,0,0
